,ADENYL-KIN-MONOMER,NUCLEOSIDE-DIP-KIN-MONOMER,AROE-MONOMER,DIHYDROOROT-MONOMER,OROTPDECARB-MONOMER,GLUTSEMIALDEHYDROG-MONOMER,CITSYN-MONOMER,ISOCITDEH-SUBUNIT,MHPF-MONOMER,ADHE-MONOMER,G7285-MONOMER,ALKAPHOSPHA-MONOMER,INORGPYROPHOSPHAT-MONOMER,PEPCARBOXYKIN-MONOMER,MALIC-NAD-MONOMER,G7242-MONOMER,G7184-MONOMER,XYLULOKIN-MONOMER,RIBOKIN-MONOMER,GLYCEROL-KIN-MONOMER,ASPAMINOTRANS-MONOMER,EG11245-MONOMER,EG11239-MONOMER,EG11517-MONOMER,F16B-MONOMER,PKI-MONOMER,PKII-MONOMER,GLUTATHIONE-REDUCT-NADPH-MONOMER,BRANCHED-CHAINAMINOTRANSFER-MONOMER,DIHYDROOROTOX-MONOMER,LEUC-MONOMER,LEUD-MONOMER,OROPRIBTRANS-MONOMER,SMALLILVM-MONOMER,LARGEILVB-MONOMER,SMALLILVN-MONOMER,ACETOLACTSYNIII-ICHAIN-MONOMER,ACETOLACTSYNIII-HCHAIN-MONOMER,DIHYDROXYACIDDEHYDRAT-MONOMER,TRYPSYN-BPROTEIN,AROA-MONOMER,PYRUVFORMLY-MONOMER,KETOBUTFORMLY-INACT-MONOMER,EG11784-MONOMER,ANTHRANSYNCOMPI-MONOMER,ANTHRANSYNCOMPII-MONOMER,FUM-FLAVO,FUM-FE-S,FUM-MEMB1,FUM-MEMB2,CHORISMUTPREPHENDEHYDROG-MONOMER,CHORISMUTPREPHENDEHYDRAT-MONOMER,G7288-MONOMER,PHOSACETYLTRANS-MONOMER,AROC-MONOMER,PRAI-IGPS,GARTRANSFORMYL2-MONOMER,ACETATEKINA-MONOMER,TYRB-MONOMER,ENOLASE-MONOMER,FRUCBISALD-CLASSI-MONOMER,FRUCTBISALD-CLASSII-MONOMER,CARBODEHYDRAT-MONOMER,EG12319-MONOMER,AICARTRANSIMPCYCLO-CPLX,IMP-DEHYDROG-MONOMER,PEPSYNTH-MONOMER,PGLUCISOM,G7463-MONOMER,PGK,6PGLUCONOLACT-MONOMER,RIBULP3EPIM-MONOMER,AROD-MONOMER,G6986-MONOMER,3-ISOPROPYLMALDEHYDROG-MONOMER,PURE-MONOMER,TRANSALDOLA-MONOMER,TRANSALDOLB-MONOMER,ASL-MONOMER,TRANSKETOII-MONOMER,TRANSKETOI-MONOMER,NRDA-MONOMER,NRDB-MONOMER,ADHP-MONOMER,THYMIDYLATESYN-MONOMER,MALATE-DEHASE-MONOMER,EG11162-MONOMER,G6903-MONOMER,FUMA-MONOMER,FUMB-MONOMER,FUMC-MONOMER,KETOLREDUCTOISOM-MONOMER,FABB-MONOMER,3-OXOACYL-ACP-SYNTHII-MONOMER,ARGSUCCINSYN-MONOMER,N-ACETYLGLUTPREDUCT-MONOMER,ISOCIT-LYASE-MONOMER,E3-MONOMER,GCVP-MONOMER,GCVH-MONOMER,GCVT-MONOMER,XYLISOM-MONOMER,PEPCARBOX-MONOMER,CYSD-MONOMER,CYSN-MONOMER,GLYOHMETRANS-MONOMER,MONOMER0-1981,UMPKI-MONOMER,CTPSYN-MONOMER,TRYPSYN-APROTEIN,ACETYLORNDEACET-MONOMER,ADENYLOSUCCINATE-SYN-MONOMER,ASNSYNB-MONOMER,ASNSYNA-MONOMER,ASPCARBCAT-MONOMER,ASPCARBREG-MONOMER,MALONYL-COA-ACP-TRANSACYL-MONOMER,DIAMINOPIMEPIM-MONOMER,DIHYDROPICRED-MONOMER,HOMOSERKIN-MONOMER,PSERTRANSAM-MONOMER,ACETYLORNTRANSAM-MONOMER,THRESYN-MONOMER,HOMSUCTRAN-MONOMER,DTMPKI-MONOMER,THIOREDOXIN-REDUCT-NADPH-MONOMER,AROF-MONOMER,AROH-MONOMER,AROG-MONOMER,MALSYNG-MONOMER,MALATE-SYNTHASE,UDHA-MONOMER,GLYC3PDEHYDROGBIOSYN-MONOMER,GMP-SYN-MONOMER,PYRROLINECARBREDUCT-MONOMER,E1O-MONOMER,E2O-MONOMER,ATPPHOSRIBOSTRANS-MONOMER,HISTDEHYD-MONOMER,DIHYDRODIPICSYN-MONOMER,IMIDPHOSPHADEHYDHISTIDPHOSPHA-MONOMER,PRPPSYN-MONOMER,HISTCYCLOPRATPPHOS,G6261-MONOMER,G6810-MONOMER,PRIBFAICARPISOM-MONOMER,PRPPAMIDOTRANS-MONOMER,SERINE-O-ACETTRAN-MONOMER,ACSERLYB-MONOMER,ACSERLYA-MONOMER,EG10043-MONOMER,PAPSSULFOTRANS-MONOMER,ASPKINIII-MONOMER,ASPKINIIHOMOSERDEHYDROGII-MONOMER,ASPKINIHOMOSERDEHYDROGI-MONOMER,ASP-SEMIALDEHYDE-DEHYDROGENASE-MONOMER,DIAMINOPIMDECARB-MONOMER,CHAINF-MONOMER,CHAINI-MONOMER,GART-MONOMER,GLY3KIN-MONOMER,GKI-MONOMER,GABATRANSAM-MONOMER,SUCCORNTRANSAM-MONOMER,ALPHACOMP-MONOMER,BETACOMP-MONOMER,GLYCRIBONUCSYN-MONOMER,FGAMSYN-MONOMER,PURK-MONOMER,GAPDH-A-MONOMER,6PGLUCONDEHYDROG-MONOMER,GLU6PDEHYDROG-MONOMER,MALIC-NADP-MONOMER,ARGSUCCINLYA-MONOMER,CARBPSYN-LARGE,CARBPSYN-SMALL,GLUTKIN-MONOMER,2-ISOPROPYLMALATESYN-MONOMER,FABH-MONOMER,EG10671-MONOMER,EG10670-MONOMER,MONOMER0-282,G6700-MONOMER,APHA-MONOMER,PSERPHOSPHA-MONOMER,ADENYLYLSULFKIN-MONOMER,YCHM-MONOMER,EG11512-MONOMER,DCTA-MONOMER,EG10564-MONOMER,CYSTATHIONINE-BETA-LYASE-MONOMER,O-SUCCHOMOSERLYASE-MONOMER,CYSA-MONOMER,CYSW-MONOMER,CYST-MONOMER,CYSP-MONOMER,SBP-MONOMER,KGTP-MONOMER,XYLE-MONOMER,G7942-MONOMER,EG10167-MONOMER,PNTB-MONOMER,PNTA-MONOMER,ATPE-MONOMER,ATPF-MONOMER,ATPB-MONOMER,ATPC-MONOMER,ATPH-MONOMER,ATPA-MONOMER,ATPG-MONOMER,ATPD-MONOMER,GUANYL-KIN-MONOMER,APPC-MONOMER,APPB-MONOMER,MONOMER0-2817,CYDA-MONOMER,CYDB-MONOMER,MONOMER0-2663,MONOMER0-2822,HOMOCYSMETB12-MONOMER,SAICARSYN-MONOMER,FOLD-MONOMER,FOCA-MONOMER,FOCB-MONOMER,GRXC-MONOMER,RED-GLUTAREDOXIN,GRXB-MONOMER,NRDE-MONOMER,NRDF-MONOMER,AMTB-MONOMER,RBSA-MONOMER,RBSC-MONOMER,RBSB-MONOMER,B2789-MONOMER,YHAU-MONOMER,GLPF-MONOMER,AQPZ-MONOMER,GLNQ-MONOMER,GLNP-MONOMER,GLNH-MONOMER,GLTP-MONOMER,ACETYLGLUTKIN-MONOMER,GLUCONOKINII-MONOMER,GLUCONOKINI-MONOMER,GLUSYNSMALL-MONOMER,GLUSYNLARGE-MONOMER,GDHA-MONOMER,GNTP-MONOMER,GNTT-MONOMER,GNTU-MONOMER,YJGT-MONOMER,BGLF-MONOMER,MANZ-MONOMER,MANY-MONOMER,MANX-MONOMER,PTSG-MONOMER,CRR-MONOMER,HISTPHOSTRANS-MONOMER,MONOMER0-2001,EG11404-MONOMER,EG12045-MONOMER,EG11548-MONOMER,THREDEHYDCAT-MONOMER,THREDEHYDSYN-MONOMER,G6862-MONOMER,DIHYDROFOLATEREDUCT-MONOMER,AROK-MONOMER,AROL-MONOMER,GLUTAMIDOTRANS-MONOMER,CYCLASE-MONOMER,E1P-MONOMER,E2P-MONOMER,METHYLENETHFREDUCT-MONOMER,G7164-MONOMER,DUTP-PYROP-MONOMER,GLUTAMINESYN-MONOMER,N-ACETYLTRANSFER-MONOMER,SUCCCOASYN-ALPHA,SUCCCOASYN-BETA,AIRS-MONOMER,DLACTDEHYDROGNAD-MONOMER,FABA-MONOMER,AROB-MONOMER,ENOYL-ACP-REDUCT-NADH-MONOMER,PGLYCDEHYDROG-MONOMER,3-OXOACYL-ACP-REDUCT-MONOMER,B2975-MONOMER,LCTP-MONOMER,6PFK-1-MONOMER,6PFK-2-MONOMER,GPMA-MONOMER,CYOD-MONOMER,CYOA-MONOMER,CYOB-MONOMER,CYOC-MONOMER,TPI-MONOMER,RIB5PISOMA-MONOMER,RIB5PISOMB-MONOMER,FABZ-MONOMER,EG10003-MONOMER,ACONITATEDEHYDRB-MONOMER,ACONITASE-MONOMER,SDH-FLAVO,SDH-FE-S,SDH-MEMB1,SDH-MEMB2,NUOA-MONOMER,NUOH-MONOMER,NUOJ-MONOMER,NUOK-MONOMER,NUOL-MONOMER,NUOM-MONOMER,NUON-MONOMER,NUOB-MONOMER,NUOC-MONOMER,NUOE-MONOMER,NUOF-MONOMER,NUOG-MONOMER,NUOI-MONOMER,VALINE-PYRUVATE-AMINOTRANSFER-MONOMER,PITA-MONOMER,PITB-MONOMER,EG11919-MONOMER,PTSH-MONOMER,EG50003-MONOMER,RED-THIOREDOXIN-MONOMER,RED-THIOREDOXIN2-MONOMER,EG11234-MONOMER,RIBULOKIN-MONOMER,EG11195-MONOMER,EG11736-MONOMER,PGMI-MONOMER,PFLACTENZ-MONOMER,EG11910-MONOMER,EG11911-MONOMER,PROPKIN-MONOMER,G7596-MONOMER,G6646-MONOMER,EG10106-MONOMER,EG10528-MONOMER,YJCW-MONOMER,YJCV-MONOMER,YJCX-MONOMER,YJFF-MONOMER,YTFR-MONOMER,YTFT-MONOMER,YTFQ-MONOMER,EG10817-MONOMER,PTSI-MONOMER,G6425-MONOMER,G7187-MONOMER,CARBOXYL-TRANSFERASE-ALPHA-MONOMER,CARBOXYL-TRANSFERASE-BETA-MONOMER,BIOTIN-CARBOXYL-MONOMER,BCCP-MONOMER,LSERINEDEAM1-MONOMER,G7841-MONOMER,GPH-MONOMER,PGAM2-MONOMER,HOMOCYSMET-MONOMER
CPLX0-237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AROD-CPLX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CPLX0-8092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUTP-PYROP-CPLX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AROA-MONOMER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YJGT-MONOMER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6PGLUCONDEHYDROG-CPLX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALKAPHOSPHA-CPLX,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GNTT-MONOMER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCVMULTI-CPLX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CPLX0-7877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YCHM-MONOMER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
